Москва,sale,flat,14,16,2,50.5,-1,0,14000000,Отрадное, Бестужевых,13,Отрадное,,Нет информации,Не указано,Не указано,Не указано,Не указано
Москва,sale,flat,2,10,2,59.8,-1,0,71281684,Дорогомилово,,3к8,Поклонная,Виктори Парк Резиденсез ЖК,Нет информации,Не указано,Не указано,Не указано,Не указано
Москва,sale,flat,6,6,4,324.5,-1,0,250000000,Беговой, 3-я Ямского Поля,9,Белорусская,Art Residence,Нет информации,Не указано,Не указано,Не указано,Не указано
Москва,sale,flat,4,5,4,98.5,-1,0,46000000,Тверской,2-й Волконский переулок,12,Цветной бульвар,,Нет информации,Не указано,Не указано,Не указано,Не указано
Москва,sale,flat,12,30,2,56.31,-1,0,21423871,Кунцево,48-й кв-л,,Кунцевская,Кутузовский Квартал ЖК,Нет информации,Не указано,Не указано,Не указано,Не указано
Москва,sale,flat,2,17,5,242.0,-1,0,239900000,Пресненский, Сергея Макеева,9к2,Улица 1905 года,RedSide,Нет информации,Не указано,Не указано,Не указано,Не указано
Москва,sale,flat,7,15,2,46.5,-1,0,23900000,Хорошевский,Ходынский бульвар,20А,ЦСКА,Лайнер,Нет информации,Не указано,Не указано,Не указано,Не указано
Москва,sale,flat,16,34,2,42.4,-1,0,22349040,Обручевский,,,Воронцовская,Эвер ЖК,Нет информации,Не указано,Не указано,Не указано,Не указано
Москва,sale,flat,35,41,3,97.4,-1,0,95000000,Хорошевский,Ленинградский проспект,37/3,Аэропорт,Прайм Парк,Нет информации,Не указано,Не указано,Не указано,Не указано
Москва,sale,flat,5,8,4,75.0,-1,0,59500000,Замоскворечье,переулок Старый Толмачевский,17с1,Новокузнецкая,,Нет информации,Не указано,Не указано,Не указано,Не указано
Москва,sale,flat,3,21,2,59.6,-1,0,23207346,Даниловский,,,Павелецкая,Павелецкая Сити ЖК,Нет информации,Не указано,Не указано,Не указано,Не указано
Москва,sale,flat,2,17,5,242.0,-1,0,240000000,Пресненский, Сергея Макеева,9к2,Улица 1905 года,RedSide,Нет информации,Не указано,Не указано,Не указано,Не указано
